pizza, todos adoram! 
computador, indispensável pro mundo atual 
brócolis, crianças normalmente não curtem 
água, transparente 
urso, melhor manter distância! 
cigarro, má ideia 
caderno, cada vez mais raro ver alguém com um 
camarão, tem muito em Búzios 
roteador, as paredes atrapalham o seu trabalho 
trator, brinquedo caro 
tunel, prodígio da engenharia 
atol, coletivo de seres em extinção 
fio, fino porém comprido 
croácia, país rico em belezas naturais 
paçoca, iguaria brasileira 
âncora, amiga íntima do marinheiro popeye 
anêmico, faltou um feijão aí 
avestruz, possui um jeito curioso de se esconder do perigo 
escorpião, ficar perto de um não é lá uma ideia muito boa 
café, da cor da noite 
praia, não faz muito sucesso em julho 
garrafa, fino por cima, largo por baixo 
avião, dá medo em muito nego véio 
monções, melhor pegar o guarda chuva! 
túnica, desde 4000 antes de cristo, mantendo o seu anonimato e privacidade 
eloquente, falou bonito! 
mordaz, que agride 
cáustico, desagradável 
biodegradável, pro bem do planeta 
morango, macio e vermelho 
rolha, vedante poroso 
italia, a bota 
volkswagen, teconologia europeia 
mônaco, milhonários estão em casa 
violão, os espanhois o manipula como ninguém 
constantinopla, a porta para o oriente 
