camarão, tem muito em Búzios 
pizza, todos adoram! 
computador, indispensável pro mundo atual 
brocolis, crianças normalmente não curtem 
água, transparente 
urso, melhor manter distância! 
cigarro, má ideia 
caderno, cada vez mais raro ver alguém com um 
roteador, as paredes atrapalham o seu trabalho 
trator, brinquedo caro 
tunel, prodígio da engenharia 
atol, coletivo de seres em extinção 
fio, fino porém comprido 
croácia, país rico em belezas naturais 
paçoca, iguaria brasileira 
âncora, amiga íntima do marinheiro popeye 
monções, melhor pegar o guarda chuva! 
anêmico, faltou um feijão aí 
